scenarios,intervals,Coal1,Coal2,Combined Cycle GT1,Combined Cycle GT2,Open Cycle GT,Battery,Wind,Solar
0,0,300.0,200.0,200.0,0.0,0.0,0.0,156.0,0.0
0,1,300.0,200.0,121.0,0.0,0.0,0.0,169.0,0.0
0,2,300.0,200.0,80.0,0.0,0.0,0.0,182.0,0.0
0,3,300.0,200.0,80.0,0.0,0.0,0.0,221.0,0.0
0,4,300.0,200.0,160.0,0.0,0.0,0.0,211.25,0.0
0,5,300.0,200.0,105.0625,0.0,0.0,0.0,195.0,0.0
0,6,300.0,200.0,185.0625,0.0,0.0,0.0,188.5,0.0
0,7,300.0,200.0,200.0,0.0,0.0,0.0,175.5,0.0
0,8,300.0,200.0,134.5,40.0,0.0,0.0,175.5,0.0
0,9,300.0,200.0,191.0,60.0,0.0,0.0,169.0,0.0
0,10,300.0,200.0,200.0,100.0,0.0,17.5,162.5,0.0
0,11,300.0,200.0,200.0,100.0,0.0,84.0,156.0,0.0
0,12,300.0,200.0,200.0,100.0,0.0,136.5,149.5,14.0
0,13,300.0,200.0,200.0,100.0,0.0,141.0,143.0,56.0
0,14,300.0,200.0,200.0,100.0,0.0,84.5,149.5,126.0
0,15,300.0,200.0,191.0,80.0,0.0,0.0,169.0,210.0
0,16,300.0,156.0,111.0,40.0,0.0,0.0,208.0,315.0
0,17,300.0,100.0,80.0,40.0,0.0,0.0,234.0,434.0
0,18,240.0,100.0,80.0,40.0,0.0,0.0,227.5,546.0
0,19,150.0,100.0,80.0,40.0,0.0,0.0,221.0,630.0
0,20,194.0,100.0,80.0,40.0,0.0,0.0,234.0,672.0
0,21,213.0,100.0,80.0,40.0,0.0,0.0,247.0,700.0
0,22,294.0,100.0,80.0,40.0,0.0,0.0,260.0,672.0
0,23,300.0,102.5,80.0,40.0,0.0,0.0,273.0,616.0
0,24,300.0,162.5,80.0,40.0,0.0,0.0,292.5,525.0
0,25,300.0,200.0,142.0,120.0,0.0,0.0,312.0,406.0
0,26,300.0,200.0,200.0,200.0,0.0,15.0,325.0,280.0
0,27,300.0,200.0,200.0,200.0,0.0,158.0,338.0,154.0
0,28,300.0,200.0,200.0,200.0,50.0,179.5,370.5,70.0
0,29,300.0,200.0,200.0,200.0,55.5,200.0,383.5,21.0
0,30,300.0,200.0,200.0,200.0,45.0,178.5,396.5,0.0
0,31,300.0,200.0,200.0,200.0,95.0,52.5,422.5,0.0
0,32,300.0,200.0,200.0,200.0,74.5,16.5,429.0,0.0
0,33,300.0,200.0,200.0,200.0,24.5,0.0,435.5,0.0
0,34,300.0,200.0,200.0,151.5,0.0,0.0,448.5,0.0
0,35,300.0,200.0,200.0,98.0,0.0,0.0,442.0,0.0
0,36,300.0,200.0,185.0,40.0,0.0,0.0,455.0,0.0
0,37,300.0,200.0,132.5,0.0,0.0,0.0,487.5,0.0
0,38,300.0,176.5,80.0,0.0,0.0,0.0,513.5,0.0
0,39,300.0,197.0,0.0,0.0,0.0,0.0,533.0,0.0
0,40,300.0,147.5,0.0,0.0,0.0,0.0,552.5,0.0
0,41,300.0,100.0,0.0,0.0,0.0,0.0,585.0,0.0
0,42,300.0,55.5,0.0,0.0,0.0,0.0,604.5,0.0
0,43,280.875,50.0,0.0,0.0,0.0,0.0,611.0,0.0
0,44,300.0,0.0,0.0,0.0,0.0,5.5,604.5,0.0
0,45,282.0,0.0,0.0,0.0,0.0,0.0,598.0,0.0
0,46,265.0,0.0,0.0,0.0,0.0,0.0,585.0,0.0
0,47,258.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0
