scenarios,intervals,Battery
0,0,14.4
0,1,14.4
0,2,15.2
0,3,39.6
0,4,100.1
0,5,136.125
0,6,193.55
0,7,231.75
0,8,231.75
0,9,231.75
0,10,223.0
0,11,181.0
0,12,112.75
0,13,42.25
0,14,0.0
0,15,0.0
0,16,0.0
0,17,27.2
0,18,76.6
0,19,125.0
0,20,205.0
0,21,285.0
0,22,363.4
0,23,400.0
0,24,400.0
0,25,400.0
0,26,392.5
0,27,313.5
0,28,223.75
0,29,123.75
0,30,34.5
0,31,8.25
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,0.0
0,38,0.0
0,39,0.0
0,40,0.0
0,41,2.0
0,42,2.0
0,43,2.75
0,44,0.0
0,45,0.0
0,46,0.0
0,47,0.0
