intervals,units_reserve
0,Coal1
0,Coal2
0,Combined Cycle GT1
0,Combined Cycle GT2
0,Open Cycle GT
0,Battery
1,Coal1
1,Coal2
1,Combined Cycle GT1
1,Combined Cycle GT2
1,Open Cycle GT
1,Battery
2,Coal1
2,Coal2
2,Combined Cycle GT1
2,Combined Cycle GT2
2,Open Cycle GT
2,Battery
3,Coal1
3,Coal2
3,Combined Cycle GT1
3,Combined Cycle GT2
3,Open Cycle GT
3,Battery
4,Coal1
4,Coal2
4,Combined Cycle GT1
4,Combined Cycle GT2
4,Open Cycle GT
4,Battery
5,Coal1
5,Coal2
5,Combined Cycle GT1
5,Combined Cycle GT2
5,Open Cycle GT
5,Battery
6,Coal1
6,Coal2
6,Combined Cycle GT1
6,Combined Cycle GT2
6,Open Cycle GT
6,Battery
7,Coal1
7,Coal2
7,Combined Cycle GT1
7,Combined Cycle GT2
7,Open Cycle GT
7,Battery
8,Coal1
8,Coal2
8,Combined Cycle GT1
8,Combined Cycle GT2
8,Open Cycle GT
8,Battery
9,Coal1
9,Coal2
9,Combined Cycle GT1
9,Combined Cycle GT2
9,Open Cycle GT
9,Battery
10,Coal1
10,Coal2
10,Combined Cycle GT1
10,Combined Cycle GT2
10,Open Cycle GT
10,Battery
11,Coal1
11,Coal2
11,Combined Cycle GT1
11,Combined Cycle GT2
11,Open Cycle GT
11,Battery
12,Coal1
12,Coal2
12,Combined Cycle GT1
12,Combined Cycle GT2
12,Open Cycle GT
12,Battery
13,Coal1
13,Coal2
13,Combined Cycle GT1
13,Combined Cycle GT2
13,Open Cycle GT
13,Battery
14,Coal1
14,Coal2
14,Combined Cycle GT1
14,Combined Cycle GT2
14,Open Cycle GT
14,Battery
15,Coal1
15,Coal2
15,Combined Cycle GT1
15,Combined Cycle GT2
15,Open Cycle GT
15,Battery
16,Coal1
16,Coal2
16,Combined Cycle GT1
16,Combined Cycle GT2
16,Open Cycle GT
16,Battery
17,Coal1
17,Coal2
17,Combined Cycle GT1
17,Combined Cycle GT2
17,Open Cycle GT
17,Battery
18,Coal1
18,Coal2
18,Combined Cycle GT1
18,Combined Cycle GT2
18,Open Cycle GT
18,Battery
19,Coal1
19,Coal2
19,Combined Cycle GT1
19,Combined Cycle GT2
19,Open Cycle GT
19,Battery
20,Coal1
20,Coal2
20,Combined Cycle GT1
20,Combined Cycle GT2
20,Open Cycle GT
20,Battery
21,Coal1
21,Coal2
21,Combined Cycle GT1
21,Combined Cycle GT2
21,Open Cycle GT
21,Battery
22,Coal1
22,Coal2
22,Combined Cycle GT1
22,Combined Cycle GT2
22,Open Cycle GT
22,Battery
23,Coal1
23,Coal2
23,Combined Cycle GT1
23,Combined Cycle GT2
23,Open Cycle GT
23,Battery
24,Coal1
24,Coal2
24,Combined Cycle GT1
24,Combined Cycle GT2
24,Open Cycle GT
24,Battery
25,Coal1
25,Coal2
25,Combined Cycle GT1
25,Combined Cycle GT2
25,Open Cycle GT
25,Battery
26,Coal1
26,Coal2
26,Combined Cycle GT1
26,Combined Cycle GT2
26,Open Cycle GT
26,Battery
27,Coal1
27,Coal2
27,Combined Cycle GT1
27,Combined Cycle GT2
27,Open Cycle GT
27,Battery
28,Coal1
28,Coal2
28,Combined Cycle GT1
28,Combined Cycle GT2
28,Open Cycle GT
28,Battery
29,Coal1
29,Coal2
29,Combined Cycle GT1
29,Combined Cycle GT2
29,Open Cycle GT
29,Battery
30,Coal1
30,Coal2
30,Combined Cycle GT1
30,Combined Cycle GT2
30,Open Cycle GT
30,Battery
31,Coal1
31,Coal2
31,Combined Cycle GT1
31,Combined Cycle GT2
31,Open Cycle GT
31,Battery
32,Coal1
32,Coal2
32,Combined Cycle GT1
32,Combined Cycle GT2
32,Open Cycle GT
32,Battery
33,Coal1
33,Coal2
33,Combined Cycle GT1
33,Combined Cycle GT2
33,Open Cycle GT
33,Battery
34,Coal1
34,Coal2
34,Combined Cycle GT1
34,Combined Cycle GT2
34,Open Cycle GT
34,Battery
35,Coal1
35,Coal2
35,Combined Cycle GT1
35,Combined Cycle GT2
35,Open Cycle GT
35,Battery
36,Coal1
36,Coal2
36,Combined Cycle GT1
36,Combined Cycle GT2
36,Open Cycle GT
36,Battery
37,Coal1
37,Coal2
37,Combined Cycle GT1
37,Combined Cycle GT2
37,Open Cycle GT
37,Battery
38,Coal1
38,Coal2
38,Combined Cycle GT1
38,Combined Cycle GT2
38,Open Cycle GT
38,Battery
39,Coal1
39,Coal2
39,Combined Cycle GT1
39,Combined Cycle GT2
39,Open Cycle GT
39,Battery
40,Coal1
40,Coal2
40,Combined Cycle GT1
40,Combined Cycle GT2
40,Open Cycle GT
40,Battery
41,Coal1
41,Coal2
41,Combined Cycle GT1
41,Combined Cycle GT2
41,Open Cycle GT
41,Battery
42,Coal1
42,Coal2
42,Combined Cycle GT1
42,Combined Cycle GT2
42,Open Cycle GT
42,Battery
43,Coal1
43,Coal2
43,Combined Cycle GT1
43,Combined Cycle GT2
43,Open Cycle GT
43,Battery
44,Coal1
44,Coal2
44,Combined Cycle GT1
44,Combined Cycle GT2
44,Open Cycle GT
44,Battery
45,Coal1
45,Coal2
45,Combined Cycle GT1
45,Combined Cycle GT2
45,Open Cycle GT
45,Battery
46,Coal1
46,Coal2
46,Combined Cycle GT1
46,Combined Cycle GT2
46,Open Cycle GT
46,Battery
47,Coal1
47,Coal2
47,Combined Cycle GT1
47,Combined Cycle GT2
47,Open Cycle GT
47,Battery
