Scenario,Interval,Demand
0,0,902
0,1,869
0,2,836
0,3,814
0,4,792
0,5,781
0,6,803
0,7,858
0,8,935
0,9,1012
0,10,1078
0,11,1144
0,12,1210
0,13,1254
0,14,1276
0,15,1265
0,16,1243
0,17,1232
0,18,1221
0,19,1210
0,20,1232
0,21,1298
0,22,1375
0,23,1452
0,24,1540
0,25,1628
0,26,1672
0,27,1705
0,28,1727
0,29,1716
0,30,1672
0,31,1617
0,32,1562
0,33,1496
0,34,1430
0,35,1364
0,36,1298
0,37,1232
0,38,1177
0,39,1133
0,40,1100
0,41,1078
0,42,1056
0,43,1034
0,44,1001
0,45,968
0,46,935
0,47,913
1,0,820
1,1,790
1,2,760
1,3,740
1,4,720
1,5,710
1,6,730
1,7,780
1,8,850
1,9,920
1,10,980
1,11,1040
1,12,1100
1,13,1140
1,14,1160
1,15,1150
1,16,1130
1,17,1120
1,18,1110
1,19,1100
1,20,1120
1,21,1180
1,22,1250
1,23,1320
1,24,1400
1,25,1480
1,26,1520
1,27,1550
1,28,1570
1,29,1560
1,30,1520
1,31,1470
1,32,1420
1,33,1360
1,34,1300
1,35,1240
1,36,1180
1,37,1120
1,38,1070
1,39,1030
1,40,1000
1,41,980
1,42,960
1,43,940
1,44,910
1,45,880
1,46,850
1,47,830
2,0,697
2,1,671.5
2,2,646
2,3,629
2,4,612
2,5,603.5
2,6,620.5
2,7,663
2,8,722.5
2,9,782
2,10,833
2,11,884
2,12,935
2,13,969
2,14,986
2,15,977.5
2,16,960.5
2,17,952
2,18,943.5
2,19,935
2,20,952
2,21,1003
2,22,1062.5
2,23,1122
2,24,1190
2,25,1258
2,26,1292
2,27,1317.5
2,28,1334.5
2,29,1326
2,30,1292
2,31,1249.5
2,32,1207
2,33,1156
2,34,1105
2,35,1054
2,36,1003
2,37,952
2,38,909.5
2,39,875.5
2,40,850
2,41,833
2,42,816
2,43,799
2,44,773.5
2,45,748
2,46,722.5
2,47,705.5
