intervals,0,1,2
0,83.545452,76.999998,46.0000002
1,83.545452,76.999998,46.0000002
2,83.545452,76.999998,46.0000002
3,83.545452,76.999998,46.0000002
4,83.545452,76.999998,46.0000002
5,83.545452,76.999998,46.0000002
6,83.545452,76.999998,46.0000002
7,83.545452,76.999998,46.0000002
8,83.545452,76.999998,56.5000002
9,139.999998,76.999998,59.5000002
10,139.999998,90.090912,59.5000002
11,139.999998,98.25,59.5000002
12,139.999998,98.25,59.5000002
13,139.999998,98.25,59.5000002
14,139.999998,98.25,59.5000002
15,139.999998,84.0,58.0000002
16,83.545452,70.00000200000001,46.0000002
17,58.0000002,46.0000002,4.000000020000001
18,58.0000002,46.0000002,4.000000020000001
19,58.0000002,46.0000002,4.000000020000001
20,58.0000002,46.0000002,4.000000020000001
21,58.0000002,46.0000002,4.000000020000001
22,58.0000002,46.0000002,4.000000020000001
23,58.0000002,46.0000002,4.000000020000001
24,76.999998,70.00000200000001,46.0000002
25,139.999998,83.545452,46.0000002
26,139.999998,83.545452,76.999998
27,139.999998,83.545452,76.999998
28,139.999998,83.545452,76.999998
29,139.999998,83.545452,76.999998
30,139.999998,83.545452,76.999998
31,139.999998,83.545452,76.999998
32,139.999998,83.545452,76.999998
33,139.999998,83.545452,76.999998
34,139.999998,83.545452,58.0000002
35,139.999998,83.545452,58.0000002
36,83.545452,76.999998,46.0000002
37,83.545452,76.999998,46.0000002
38,83.545452,46.0000002,46.0000002
39,106.431816,58.0000002,46.0000002
40,106.431816,58.0000002,46.0000002
41,83.545452,46.0000002,4.000000020000001
42,83.545452,46.0000002,4.000000020000001
43,106.431816,46.0000002,4.000000020000001
44,83.545452,46.0000002,4.000000020000001
45,83.545452,46.0000002,4.000000020000001
46,83.545452,46.0000002,4.000000020000001
47,106.431816,46.0000002,4.000000020000001
