intervals,Coal1,Coal2,Combined Cycle GT1,Combined Cycle GT2,Open Cycle GT
0,3,2,2,1,0
1,3,2,2,1,0
2,3,2,2,1,0
3,3,2,2,1,0
4,3,2,2,1,0
5,3,2,2,1,0
6,3,2,2,1,0
7,3,2,2,1,0
8,3,2,2,1,0
9,3,2,2,1,0
10,3,2,2,1,1
11,3,2,2,1,1
12,3,2,2,1,1
13,3,2,2,1,1
14,3,2,2,1,1
15,3,2,2,1,1
16,3,2,2,1,0
17,3,2,2,1,0
18,3,2,2,1,0
19,3,2,2,1,0
20,3,2,2,1,0
21,3,2,2,1,0
22,3,2,2,1,0
23,3,2,2,1,0
24,3,2,2,1,0
25,3,2,2,2,0
26,3,2,2,2,1
27,3,2,2,2,2
28,3,2,2,2,3
29,3,2,2,2,3
30,3,2,2,2,3
31,3,2,2,2,3
32,3,2,2,2,2
33,3,2,2,2,2
34,3,2,2,2,0
35,3,2,2,2,0
36,3,2,2,2,0
37,3,2,2,1,0
38,3,2,2,1,0
39,3,2,1,0,0
40,3,2,1,0,0
41,3,2,0,0,0
42,3,2,0,0,0
43,3,1,0,0,0
44,3,1,0,0,0
45,3,1,0,0,0
46,3,1,0,0,0
47,3,0,0,0,0
