scenarios,intervals,Battery
0,0,11.2
0,1,32.0
0,2,68.8
0,3,117.6
0,4,156.4
0,5,139.2
0,6,148.4
0,7,94.0
0,8,32.4
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,128.8
0,19,160.0
0,20,155.2
0,21,160.0
0,22,134.4
0,23,61.6
0,24,0.0
0,25,0.0
0,26,0.0
0,27,0.0
0,28,0.0
0,29,0.0
0,30,0.0
0,31,0.0
0,32,0.0
0,33,0.0
0,34,0.0
0,35,0.0
0,36,0.0
0,37,23.1
0,38,29.2
0,39,0.0
0,40,0.0
0,41,5.6
0,42,22.8
0,43,0.0
0,44,2.8
0,45,8.0
0,46,0.0
0,47,0.0
1,0,0.0
1,1,0.0
1,2,33.6
1,3,80.8
1,4,89.0
1,5,84.0
1,6,62.8
1,7,12.4
1,8,0.0
1,9,3.4
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,39.6
1,18,47.2
1,19,160.0
1,20,160.0
1,21,160.0
1,22,160.0
1,23,73.2
1,24,0.0
1,25,0.0
1,26,0.0
1,27,0.0
1,28,0.0
1,29,0.0
1,30,0.0
1,31,0.0
1,32,0.0
1,33,0.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
2,0,27.1
2,1,14.0
2,2,44.8
2,3,89.6
2,4,95.4
2,5,89.2
2,6,70.4
2,7,26.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,50.4
2,19,160.0
2,20,160.0
2,21,160.0
2,22,160.0
2,23,109.6
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,0.0
2,46,0.0
2,47,0.0
