scenarios,intervals,units_reserve
0,0,Coal1
0,0,Coal2
0,0,Combined Cycle GT1
0,0,Combined Cycle GT2
0,0,Open Cycle GT
0,0,Battery
0,1,Coal1
0,1,Coal2
0,1,Combined Cycle GT1
0,1,Combined Cycle GT2
0,1,Open Cycle GT
0,1,Battery
0,2,Coal1
0,2,Coal2
0,2,Combined Cycle GT1
0,2,Combined Cycle GT2
0,2,Open Cycle GT
0,2,Battery
0,3,Coal1
0,3,Coal2
0,3,Combined Cycle GT1
0,3,Combined Cycle GT2
0,3,Open Cycle GT
0,3,Battery
0,4,Coal1
0,4,Coal2
0,4,Combined Cycle GT1
0,4,Combined Cycle GT2
0,4,Open Cycle GT
0,4,Battery
0,5,Coal1
0,5,Coal2
0,5,Combined Cycle GT1
0,5,Combined Cycle GT2
0,5,Open Cycle GT
0,5,Battery
0,6,Coal1
0,6,Coal2
0,6,Combined Cycle GT1
0,6,Combined Cycle GT2
0,6,Open Cycle GT
0,6,Battery
0,7,Coal1
0,7,Coal2
0,7,Combined Cycle GT1
0,7,Combined Cycle GT2
0,7,Open Cycle GT
0,7,Battery
0,8,Coal1
0,8,Coal2
0,8,Combined Cycle GT1
0,8,Combined Cycle GT2
0,8,Open Cycle GT
0,8,Battery
0,9,Coal1
0,9,Coal2
0,9,Combined Cycle GT1
0,9,Combined Cycle GT2
0,9,Open Cycle GT
0,9,Battery
0,10,Coal1
0,10,Coal2
0,10,Combined Cycle GT1
0,10,Combined Cycle GT2
0,10,Open Cycle GT
0,10,Battery
0,11,Coal1
0,11,Coal2
0,11,Combined Cycle GT1
0,11,Combined Cycle GT2
0,11,Open Cycle GT
0,11,Battery
0,12,Coal1
0,12,Coal2
0,12,Combined Cycle GT1
0,12,Combined Cycle GT2
0,12,Open Cycle GT
0,12,Battery
0,13,Coal1
0,13,Coal2
0,13,Combined Cycle GT1
0,13,Combined Cycle GT2
0,13,Open Cycle GT
0,13,Battery
0,14,Coal1
0,14,Coal2
0,14,Combined Cycle GT1
0,14,Combined Cycle GT2
0,14,Open Cycle GT
0,14,Battery
0,15,Coal1
0,15,Coal2
0,15,Combined Cycle GT1
0,15,Combined Cycle GT2
0,15,Open Cycle GT
0,15,Battery
0,16,Coal1
0,16,Coal2
0,16,Combined Cycle GT1
0,16,Combined Cycle GT2
0,16,Open Cycle GT
0,16,Battery
0,17,Coal1
0,17,Coal2
0,17,Combined Cycle GT1
0,17,Combined Cycle GT2
0,17,Open Cycle GT
0,17,Battery
0,18,Coal1
0,18,Coal2
0,18,Combined Cycle GT1
0,18,Combined Cycle GT2
0,18,Open Cycle GT
0,18,Battery
0,19,Coal1
0,19,Coal2
