scenarios,intervals,Battery
0,0,5.6
0,1,21.6
0,2,56.0
0,3,114.8
0,4,193.0
0,5,262.6
0,6,336.8
0,7,383.8
0,8,400.0
0,9,378.5
0,10,345.75
0,11,301.75
0,12,203.5
0,13,103.5
0,14,18.0
0,15,0.0
0,16,0.0
0,17,0.0
0,18,64.4
0,19,144.4
0,20,222.0
0,21,302.0
0,22,369.2
0,23,400.0
0,24,400.0
0,25,385.0
0,26,326.5
0,27,245.0
0,28,201.75
0,29,146.0
0,30,108.25
0,31,98.5
0,32,82.0
0,33,51.75
0,34,11.0
0,35,0.0
0,36,0.0
0,37,11.55
0,38,26.15
0,39,16.15
0,40,12.4
0,41,15.2
0,42,26.6
0,43,15.1
0,44,16.5
0,45,20.5
0,46,20.5
0,47,0.0
1,0,0.0
1,1,0.0
1,2,16.8
1,3,57.2
1,4,101.7
1,5,143.7
1,6,175.1
1,7,181.3
1,8,181.3
1,9,183.0
1,10,183.0
1,11,151.0
1,12,92.75
1,13,32.25
1,14,0.0
1,15,0.0
1,16,0.0
1,17,19.8
1,18,43.4
1,19,123.4
1,20,203.4
1,21,283.4
1,22,363.4
1,23,400.0
1,24,400.0
1,25,400.0
1,26,393.5
1,27,334.5
1,28,249.75
1,29,152.0
1,30,70.25
1,31,26.5
1,32,1.0
1,33,1.0
1,34,0.0
1,35,0.0
1,36,0.0
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
2,0,13.55
2,1,20.55
2,2,42.95
2,3,87.75
2,4,135.45
2,5,180.05
2,6,215.25
2,7,228.25
2,8,228.25
2,9,225.25
2,10,210.0
2,11,166.0
2,12,100.25
2,13,35.25
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,25.2
2,19,105.2
2,20,185.2
2,21,265.2
2,22,345.2
2,23,400.0
2,24,400.0
2,25,400.0
2,26,396.5
2,27,333.75
2,28,246.75
2,29,146.75
2,30,60.25
2,31,48.0
2,32,10.25
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,0.0
2,46,0.0
2,47,0.0
